Rattachement administratif	Projet-equipe	serveur	stockage	aci	cluster	reseaux	baie	modele	numero de serie	nombre u	id u	puissance totale	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
UGA	reseauUGA			X			d3	autre	LEAF 342	1	U37	0		X																																																																																										X																												
UGA	reseauUGA			X			d3	autre	imag-dc-342-sw	1	U35	0																																X																														X																																																										
UGA	reseauUGA			X			d6	autre	LEAF 343	1	U40	0	X																																																																																										X																													
UGA	reseauUGA			X			d6	switch	imag-dc-343-sw	1	U38	0																															X																														X																																																											
UGA	reseauUGA			X			e1	autre	LEAF 351	1	U42	0	X																																																																																										X																													
UGA	reseauUGA			X			e1	autre	imag-dc-351-sw	1	U40	0																															X																														X																																																											
UGA	reseauUGA			X			e3	autre	LEAF 352	1	U42	0	X																																																																																										X																													
UGA	reseauUGA			X			e3	switch	imag-dc-352-sw	1	U40	0																															X																														X																																																											
UGA	reseauUGA			X			e5	autre	LEAF 353	1	U42	0																															X																																																												X																													
UGA	reseauUGA			X			e5	switch	imag-dc-352-sw	1	U40	0	X																																																												X																																																											
UGA	LIPHY					X	e6	cisco		1	U42	0	X																																																																																																																							
UGA	reseauUGA			X			e6	transfert de charge APC		1	U26	0									X																																																																																										X																					
UGA	reseauUGA			X			f1	autre	LEAF 361	1	U42	0	X																																																																																										X																													
UGA	reseauUGA			X			f1	autre	imag-dc-361-sw	1	U40	0																															X																														X																																																											
UGA	reseauUGA			X			f3	autre	LEAF 362	1	U42	0	X																																																																																										X																													
UGA	reseauUGA			X			f3	autre	imag-dc-362-sw	1	U40	0			X																																																										X																																																											
COMUE	Inria					X	f3	autre	KVM INRIA	1	U39	0		X																																																												X																																																										
UGA	reseauUGA			X			f3	transfert de charge APC		1	U23	0								X																																																												X																																																				
UGA	LEGI					X	f4	switch		1	U31	0																																																																			X																									X																												
UGA	reseauUGA			X			f5	autre	LEAF 363	1	U42	0																															X																																																																		X																							
UGA	reseauUGA			X			f5	switch	imag-dc-363-sw	1	U40	0	X																																																																		X																																																					
